City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
72,Coihaique,CL,2020-02-23 21:19:46,-45.58,-72.07,66.2,39,75,10.29,broken clouds,0.0,0.0
73,Atar,MR,2020-02-23 21:19:46,20.52,-13.05,84.87,16,100,7.43,overcast clouds,0.0,0.0
74,Cayeli,TR,2020-02-23 21:19:47,41.09,40.73,41.7,90,60,3.38,broken clouds,0.0,0.0
75,Kurchum,KZ,2020-02-23 21:19:47,48.57,83.65,11.14,91,92,2.8,overcast clouds,0.0,0.0
76,Ilulissat,GL,2020-02-23 21:17:58,69.22,-51.1,-2.2,58,0,6.93,clear sky,0.0,0.0
77,Buala,SB,2020-02-23 21:19:48,-8.14,159.59,81.45,81,10,3.96,light rain,1.44,0.0
78,Nishihara,JP,2020-02-23 21:19:48,26.18,127.76,60.8,77,20,2.24,few clouds,0.0,0.0
79,Goderich,CA,2020-02-23 21:19:48,43.75,-81.72,42.01,70,17,15.99,few clouds,0.0,0.0
80,Eyl,SO,2020-02-23 21:19:48,7.98,49.82,79.14,73,100,20.4,overcast clouds,0.0,0.0
81,Onguday,RU,2020-02-23 21:19:48,50.75,86.15,4.28,98,100,2.37,light snow,0.0,0.31
82,Bredasdorp,ZA,2020-02-23 21:19:48,-34.53,20.04,66.2,55,0,10.29,clear sky,0.0,0.0
83,Usinsk,RU,2020-02-23 21:19:49,65.99,57.53,28.51,87,100,28.39,light snow,0.0,0.13
84,Port Blair,IN,2020-02-23 21:19:49,11.67,92.75,80.69,75,100,11.63,overcast clouds,0.0,0.0
85,Kargasok,RU,2020-02-23 21:19:49,59.06,80.86,3.0,90,0,6.64,clear sky,0.0,0.0
86,Dikson,RU,2020-02-23 21:19:49,73.51,80.55,28.47,92,100,27.6,light snow,0.0,0.25
87,Balad,IQ,2020-02-23 21:19:50,34.02,44.15,60.51,56,100,5.28,overcast clouds,0.0,0.0
88,Lins,BR,2020-02-23 21:19:50,-21.68,-49.74,77.92,87,59,7.0,light rain,2.56,0.0
89,Nome,US,2020-02-23 21:19:50,64.5,-165.41,3.2,84,90,10.29,light snow,0.0,0.0
90,Puerto Ayora,EC,2020-02-23 21:18:10,-0.74,-90.35,84.2,74,20,10.29,few clouds,0.0,0.0
91,Beidao,CN,2020-02-23 21:19:51,34.57,105.89,35.98,88,0,1.79,clear sky,0.0,0.0
92,Glendive,US,2020-02-23 21:19:51,47.11,-104.71,41.0,37,40,5.82,scattered clouds,0.0,0.0
93,Butaritari,KI,2020-02-23 21:19:52,3.07,172.79,84.88,77,76,12.91,moderate rain,6.0,0.0
94,Kismayo,SO,2020-02-23 21:19:52,-0.36,42.55,81.88,85,19,18.77,few clouds,0.0,0.0
95,Marystown,CA,2020-02-23 21:19:52,47.17,-55.15,31.06,85,0,14.23,clear sky,0.0,0.0
96,Lincoln,US,2020-02-23 21:19:52,40.8,-96.67,60.8,30,1,6.93,clear sky,0.0,0.0
97,Bethel,US,2020-02-23 21:18:50,41.37,-73.41,54.0,20,1,10.29,clear sky,0.0,0.0
98,Vaini,TO,2020-02-23 21:19:53,-21.2,-175.2,80.6,88,40,9.17,scattered clouds,0.0,0.0
99,Katsuura,JP,2020-02-23 21:19:53,35.13,140.3,42.8,45,20,10.29,few clouds,0.0,0.0
100,Kulu,TR,2020-02-23 21:19:53,39.1,33.08,38.5,81,53,4.16,broken clouds,0.0,0.0
101,Upernavik,GL,2020-02-23 21:18:03,72.79,-56.15,-17.82,81,0,7.31,clear sky,0.0,0.0
102,Porbandar,IN,2020-02-23 21:19:54,21.64,69.61,76.78,54,0,13.89,clear sky,0.0,0.0
103,Ancud,CL,2020-02-23 21:19:54,-41.87,-73.82,59.0,58,69,14.99,light rain,0.38,0.0
104,Lillooet,CA,2020-02-23 21:19:54,50.69,-121.94,39.2,80,1,21.92,clear sky,0.0,0.0
105,Teahupoo,PF,2020-02-23 21:19:54,-17.83,-149.27,87.8,58,20,16.11,few clouds,0.0,0.0
106,Vila Velha,BR,2020-02-23 21:19:55,-20.33,-40.29,77.0,69,90,13.87,overcast clouds,0.0,0.0
107,Ixtapa,MX,2020-02-23 21:19:55,20.7,-105.2,81.0,69,75,17.22,broken clouds,0.0,0.0
108,Hithadhoo,MV,2020-02-23 21:19:29,-0.6,73.08,83.41,76,92,13.69,overcast clouds,0.0,0.0
109,Constantine,DZ,2020-02-23 21:19:55,36.37,6.61,42.8,81,0,2.24,clear sky,0.0,0.0
110,Celestun,MX,2020-02-23 21:19:55,20.87,-90.4,72.54,74,0,16.73,clear sky,0.0,0.0
111,Bow Island,CA,2020-02-23 21:19:56,49.87,-111.37,37.4,59,90,8.05,overcast clouds,0.0,0.0
112,Qaanaaq,GL,2020-02-23 21:17:58,77.48,-69.36,-19.41,68,0,7.14,clear sky,0.0,0.0
113,Alenquer,BR,2020-02-23 21:19:56,-1.94,-54.74,80.6,88,40,3.36,scattered clouds,0.0,0.0
114,Carnarvon,AU,2020-02-23 21:19:20,-24.87,113.63,71.6,83,0,5.82,clear sky,0.0,0.0
115,Eyrarbakki,IS,2020-02-23 21:19:57,63.86,-21.15,32.0,75,75,8.05,light shower snow,0.0,0.0
116,Pevek,RU,2020-02-23 21:19:57,69.7,170.31,-13.94,99,100,5.64,overcast clouds,0.0,0.0
117,Cabo San Lucas,MX,2020-02-23 21:15:08,22.89,-109.91,82.4,44,40,10.29,scattered clouds,0.0,0.0
118,Maputo,MZ,2020-02-23 21:19:57,-25.97,32.59,73.4,64,75,16.11,broken clouds,0.0,0.0
119,Iqaluit,CA,2020-02-23 21:19:58,63.75,-68.51,-25.01,67,20,10.29,few clouds,0.0,0.0
120,Kruisfontein,ZA,2020-02-23 21:19:58,-34.0,24.73,56.48,78,0,4.38,clear sky,0.0,0.0
121,Juneau,US,2020-02-23 21:15:18,58.3,-134.42,35.01,86,90,2.82,light rain,0.0,0.0
122,Auki,SB,2020-02-23 21:19:58,-8.77,160.7,83.01,76,0,7.14,light rain,1.25,0.0
123,Cayenne,GF,2020-02-23 21:19:59,4.93,-52.33,82.4,74,90,12.75,overcast clouds,0.0,0.0
124,Saint-Philippe,RE,2020-02-23 21:16:27,-21.36,55.77,75.2,78,0,5.82,clear sky,0.0,0.0
125,Yar-Sale,RU,2020-02-23 21:19:59,66.83,70.83,29.5,84,100,27.89,overcast clouds,0.0,0.0
126,Saskylakh,RU,2020-02-23 21:19:59,71.92,114.08,5.74,91,100,8.63,overcast clouds,0.0,0.0
127,Saint George,US,2020-02-23 21:15:29,37.1,-113.58,57.0,50,1,8.05,clear sky,0.0,0.0
128,Bassano,CA,2020-02-23 21:20:00,50.78,-112.47,28.08,97,98,13.96,light snow,0.0,0.94
129,Lebu,CL,2020-02-23 21:17:39,-37.62,-73.65,63.63,63,0,9.86,clear sky,0.0,0.0
130,Nova Vicosa,BR,2020-02-23 21:20:00,-17.89,-39.37,78.3,86,100,14.36,light rain,0.75,0.0
131,Tuatapere,NZ,2020-02-23 21:20:01,-46.13,167.68,60.01,80,72,8.01,broken clouds,0.0,0.0
132,Sisimiut,GL,2020-02-23 21:20:01,66.94,-53.67,-2.88,73,100,3.67,overcast clouds,0.0,0.0
133,Manadhoo,MV,2020-02-23 21:20:02,5.77,73.38,83.12,76,26,16.26,scattered clouds,0.0,0.0
134,Barrow,US,2020-02-23 21:17:32,71.29,-156.79,-27.4,74,1,10.29,clear sky,0.0,0.0
135,Tulle,FR,2020-02-23 21:20:02,45.33,1.83,46.99,80,0,3.36,clear sky,0.0,0.0
