City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
137,La Ronge,CA,2020-02-22 22:13:58,55.1,-105.28,39.2,51,90,8.05
138,Taoudenni,ML,2020-02-22 22:13:58,22.68,-3.98,78.84,10,2,10.58
139,Saint-Philippe,RE,2020-02-22 22:12:44,-21.36,55.77,75.2,69,100,6.93
140,La Rioja,ES,2020-02-22 22:13:59,42.25,-2.5,46.0,75,3,1.12
141,Takaka,NZ,2020-02-22 22:13:59,-40.85,172.8,64.99,65,7,5.01
142,Muros,ES,2020-02-22 22:13:59,42.78,-9.06,55.0,100,90,4.7
143,Forest Grove,US,2020-02-22 22:13:59,45.52,-123.11,57.99,58,75,2.35
144,Jamestown,US,2020-02-22 22:13:59,42.1,-79.24,42.8,44,1,18.34
145,Airai,TL,2020-02-22 22:14:00,-8.93,125.41,66.29,82,8,4.83
146,Priargunsk,RU,2020-02-22 22:14:00,50.37,119.1,2.08,96,100,3.83
147,Opuwo,NA,2020-02-22 22:14:00,-18.06,13.84,75.4,29,66,6.96
148,Kulunda,RU,2020-02-22 22:14:00,52.57,78.94,13.89,96,86,7.81
149,Aswan,EG,2020-02-22 22:14:00,24.09,32.91,60.8,33,1,8.05
150,Torbay,CA,2020-02-22 22:14:00,47.67,-52.73,26.01,67,20,20.8
151,Kimbe,PG,2020-02-22 22:14:01,-5.55,150.14,76.55,91,71,1.99
152,Te Anau,NZ,2020-02-22 22:14:01,-45.42,167.72,51.8,74,60,2.51
153,Gazanjyk,TM,2020-02-22 22:14:01,39.24,55.52,45.72,77,86,6.85
154,Solnechnyy,RU,2020-02-22 22:14:01,50.72,136.63,5.97,77,20,6.13
155,Udachnyy,RU,2020-02-22 22:14:01,66.42,112.4,-9.4,83,97,4.47
156,Jizan,SA,2020-02-22 22:14:02,17.33,42.67,78.8,74,3,3.36
157,Balikpapan,ID,2020-02-22 22:09:23,-1.27,116.83,81.93,77,98,18.28
158,Chokurdakh,RU,2020-02-22 22:14:02,70.63,147.92,-13.88,97,100,1.48
159,Ilo,PE,2020-02-22 22:14:02,-17.64,-71.34,80.6,69,99,11.41
160,Caucaia,BR,2020-02-22 22:14:02,-3.74,-38.65,80.6,83,40,2.24
161,Ilulissat,GL,2020-02-22 22:14:03,69.22,-51.1,1.4,49,91,2.24
162,Sur,OM,2020-02-22 22:14:03,22.57,59.53,68.61,82,96,1.74
163,Kenai,US,2020-02-22 22:14:03,60.55,-151.26,24.01,72,90,3.36
164,Waipawa,NZ,2020-02-22 22:11:11,-41.41,175.52,61.0,72,100,20.8
165,Pevek,RU,2020-02-22 22:12:07,69.7,170.31,-12.15,98,100,10.78
166,Turayf,SA,2020-02-22 22:14:03,31.67,38.66,46.4,87,0,8.05
167,Sulangan,PH,2020-02-22 22:14:04,11.14,123.72,78.21,73,3,11.41
168,Hofn,IS,2020-02-22 22:14:04,64.25,-15.21,34.3,67,100,9.62
169,Nkowakowa,ZA,2020-02-22 22:14:04,-23.89,30.29,62.6,88,75,9.17
170,Namtsy,RU,2020-02-22 22:14:04,62.72,129.67,-22.0,74,98,4.47
